directive,content,last_modified,etag,robotstxt_url,download_date
Disallow,/es/2.2/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/es/2.2/misc,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/es/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/es/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/es/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/fr/2.2/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/fr/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/id/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/id/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/id/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ja/2.2/howto,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ja/2.2/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ja/2.2/misc,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ja/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ja/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ja/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ko/2.2/howto,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ko/2.2/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ko/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ko/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/ko/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pl/2.2/howto,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pl/2.2/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pl/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pl/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pl/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pt-br/2.2/intro,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pt-br/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pt-br/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/pt-br/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/zh-hans/2.2/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/zh-hans/2.2/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/zh-hans/2.2/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/zh-hans/2.2/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/el/2.1/internals,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/el/2.1/ref,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/el/2.1/releases,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/el/2.1/topics,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
Disallow,/es/2.1/howto,2020-11-14 12:00:21+00:00,"""5fafc6d5-1c1d""",https://docs.djangoproject.com/robots.txt,2020-11-20 17:24:49.859202+00:00
